,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
226,"SPIRIT REALTY CAPITAL, INC.",SRC,New York Stock Exchange,15.0,"29,000,000","$435,000,000",2012-09-20,/market-activity/ipos/overview?dealId=617470-68594,37,"80,501,515",1207522725.0,16767 NORTH PERIMETER DRIVE SUITE 210  SCOTTSDALE AZ 85260,4806060820
227,"TRULIA, INC.",TRLA,New York Stock Exchange,17.0,"6,000,000","$102,000,000",2012-09-20,/market-activity/ipos/overview?dealId=695941-70564,462,"26,376,654",448403118.0,535 MISSION STREET SUITE 700  SAN FRANCISCO CA 94105,(415) 648-4358
228,"QUALYS, INC.",QLYS,Nasdaq National Market,12.0,"7,575,000","$90,900,000",2012-09-28,/market-activity/ipos/overview?dealId=375214-70088,334,"30,050,974",360611688.0,919 E. HILLSDALE BLVD.   FOSTER CITY CA 94404,650-801-6100
229,LUXFER HOLDINGS PLC,LXFR,New York Stock Exchange,10.0,"8,000,000","$80,000,000",2012-10-03,/market-activity/ipos/overview?dealId=107562-68738,1449,"8,000,000",80000000.0,LUMNS LANE   MANCHESTER  M27 8LN,44161300-0600
230,"LIFELOCK, INC.",LOCK,New York Stock Exchange,9.0,"15,700,000","$141,300,000",2012-10-03,/market-activity/ipos/overview?dealId=729273-70640,616,"86,308,363",776775267.0,60 E. RIO SALADO PARKWAY SUITE 400  TEMPE AZ 85281,480-682-5100
231,Regulus Therapeutics Inc.,RGLS,Nasdaq National Market,4.0,"11,250,000","$45,000,000",2012-10-04,/market-activity/ipos/overview?dealId=841390-70574,56,"34,130,393",136521572.0,10628 SCIENCE CENTER DRIVE SUITE 225  SAN DIEGO CA 92121,858-202-6300
232,"BERRY GLOBAL GROUP, INC.",BERY,New York Stock Exchange,16.0,"29,411,764","$470,588,224",2012-10-04,/market-activity/ipos/overview?dealId=724283-69480,15000,"112,600,136",1801602176.0,101 OAKLEY STREET PO BOX 959  EVANSVILLE IN 47710,8124242904
233,Fleetmatics Group Ltd,FLTX,New York Stock Exchange,17.0,"7,812,500","$132,812,500",2012-10-05,/market-activity/ipos/overview?dealId=888051-70588,446,"34,418,867",585120739.0,1100 WINTER STREET   WALTHAM MA 02451,1-866-844-2235
234,Amira Nature Foods Ltd.,ANFI,New York Stock Exchange,10.0,"9,000,000","$90,000,000",2012-10-10,/market-activity/ipos/overview?dealId=888611-70645,252,"35,665,434",356654340.0,"29E, A.U. Tower Jumeirah Lake Towers  Dubai  00000",9714-235-1755
235,AMBARELLA INC,AMBA,Nasdaq National Market,6.0,"6,000,000","$36,000,000",2012-10-10,/market-activity/ipos/overview?dealId=622350-67386,425,"25,909,462",155456772.0,3101 JAY STREET   SANTA CLARA CA 95054,408-734-8888
236,KYTHERA BIOPHARMACEUTICALS INC,KYTH,Nasdaq National Market,16.0,"4,400,000","$70,400,000",2012-10-11,/market-activity/ipos/overview?dealId=779580-69946,39,"17,365,648",277850368.0,27200 WEST AGOURA ROAD SUITE 200  CALABASAS CA 91301,818-587-4500
237,"INTERCEPT PHARMACEUTICALS, INC.",ICPT,Nasdaq National Market,15.0,"5,000,000","$75,000,000",2012-10-11,/market-activity/ipos/overview?dealId=605285-70681,18,"15,733,483",236002245.0,"10 HUDSON YARDS, 37TH FLOOR   NEW YORK NY 10001",646-747-1000
238,"Shutterstock, Inc.",SSTK,New York Stock Exchange,17.0,"4,500,000","$76,500,000",2012-10-11,/market-activity/ipos/overview?dealId=881786-69899,224,"32,838,281",558250777.0,350 FIFTH AVENUE 21ST FLOOR  NEW YORK NY 10118,646-419-4452
239,REALOGY HOLDINGS CORP.,RLGY,New York Stock Exchange,27.0,"40,000,000","$1,080,000,000",2012-10-11,/market-activity/ipos/overview?dealId=743581-70078,10900,"130,153,234",3514137318.0,175 PARK AVENUE   MADISON NJ 07940,973-407-2000
240,"Diamondback Energy, Inc.",FANG,Nasdaq National Market,17.5,"12,500,000","$218,750,000",2012-10-12,/market-activity/ipos/overview?dealId=874323-69211,54,"35,111,532",614451810.0,500 WEST TEXAS SUITE 1200  MIDLAND TX 79701,405-463-6900
241,"Workday, Inc.",WDAY,New York Stock Exchange,28.0,"22,750,000","$637,000,000",2012-10-12,/market-activity/ipos/overview?dealId=674590-70656,1550,"22,750,000",637000000.0,6110 STONERIDGE MALL ROAD   PLEASANTON CA 94588,925-951-9000
242,METHES ENERGIES INTERNATIONAL LTD,MEILU,Nasdaq SmallCap Market,5.0,"560,000","$2,800,000",2012-10-25,/market-activity/ipos/overview?dealId=779843-70192,29,"6,553,169",32765845.0,3651 LINDELL ROAD SUITE D-272  LAS VEGAS NV 89103,702-932-9964
243,WhiteWave Foods CO,WWAV,New York Stock Exchange,17.0,"23,000,000","$391,000,000",2012-10-26,/market-activity/ipos/overview?dealId=887169-70473,2500,"23,000,000",391000000.0,1225 SEVENTEENTH STREET SUITE 1000  DENVER CO 80202,303-635-4500
244,PBF Energy Inc.,PBF,New York Stock Exchange,26.0,"20,500,000","$533,000,000",2012-12-13,/market-activity/ipos/overview?dealId=867850-68610,1578,"20,500,000",533000000.0,1 SYLVAN WAY   PARSIPPANY NJ 07054,973-455-7500
245,SOLARCITY CORP,SCTY,Nasdaq National Market,8.0,"11,500,000","$92,000,000",2012-12-13,/market-activity/ipos/overview?dealId=752655-70925,2300,"73,079,499",584635992.0,3055 CLEARVIEW WAY   SAN MATEO CA 94402,650-638-1028
246,"USA Compression Partners, LP",USAC,New York Stock Exchange,18.0,"11,000,000","$198,000,000",2013-01-15,/market-activity/ipos/overview?dealId=857263-67370,227,"15,048,588",270874584.0,111 CONGRESS AVENUE SUITE 2400  AUSTIN TX 78701,512-473-2662
247,"CVR Refining, LP",CVRR,New York Stock Exchange,25.0,"24,000,000","$600,000,000",2013-01-17,/market-activity/ipos/overview?dealId=890411-70889,800,"147,600,000",3690000000.0,2277 PLAZA DRIVE SUITE 500  SUGAR LAND TX 77479,(281) 207-3200
248,CyrusOne Inc.,CONE,Nasdaq National Market,19.0,"16,500,000","$313,500,000",2013-01-18,/market-activity/ipos/overview?dealId=887203-70479,250,"19,413,165",368850135.0,2850 N HARWOOD ST SUITE 2200  DALLAS TX 75201,(972) 350-0060
249,Norwegian Cruise Line Holdings Ltd.,NCLH,Nasdaq National Market,19.0,"23,529,412","$447,058,828",2013-01-18,/market-activity/ipos/overview?dealId=859940-67674,14072,"200,468,080",3808893520.0,7665 CORPORATE DRIVE   MIAMI FL 33126,305-436-4000
250,LIPOSCIENCE INC,LPDX,Nasdaq National Market,9.0,"5,000,000","$45,000,000",2013-01-25,/market-activity/ipos/overview?dealId=99858-67489,204,"13,888,795",124999155.0,2500 SUMNER BOULEVARD   RALEIGH NC 27616,9192121999
251,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM,New York Stock Exchange,22.0,"10,100,000","$222,200,000",2013-01-25,/market-activity/ipos/overview?dealId=780783-71043,22000,"62,871,119",1383164618.0,2 WELLS AVENUE   NEWTON MA 02459,617-673-8000
252,"HUMANIGEN, INC",KBIO,Nasdaq National Market,8.0,"8,750,000","$70,000,000",2013-01-31,/market-activity/ipos/overview?dealId=639035-70920,20,"24,127,884",193023072.0,533 AIRPORT BLVD. SUITE 400  BURLINGAME CA 94010,650.243.3100
253,"TRI Pointe Homes, Inc.",TPH,New York Stock Exchange,17.0,"13,689,000","$232,713,000",2013-01-31,/market-activity/ipos/overview?dealId=895796-71464,53,"31,597,907",537164419.0,"940 SOUTHWOOD BLVD, SUITE 200   INCLINE VILLAGE NV 89451",(775) 413-1030
254,Zoetis Inc.,ZTS,New York Stock Exchange,26.0,"86,100,000","$2,238,600,000",2013-02-01,/market-activity/ipos/overview?dealId=887531-70515,9500,"86,100,000",2238600000.0,10 SYLVAN WAY   PARSIPPANY NJ 07054,973-822-7000
255,BOISE CASCADE Co,BCC,New York Stock Exchange,21.0,"11,764,706","$247,058,826",2013-02-06,/market-activity/ipos/overview?dealId=676843-71188,4470,"41,464,706",870758826.0,"1111 WEST JEFFERSON STREET, SUITE 300 P. O. BOX 50  BOISE ID 83702",(208) 384-6161
256,ExOne Co,XONE,Nasdaq National Market,18.0,"5,300,000","$95,400,000",2013-02-07,/market-activity/ipos/overview?dealId=896804-71557,155,"12,798,272",230368896.0,127 INDUSTRY BOULEVARD   NORTH HUNTINGDON PA 15642,724-863-9663
257,"Benefytt Technologies, Inc.",HIIQ,Nasdaq National Market,14.0,"4,666,667","$65,333,338",2013-02-08,/market-activity/ipos/overview?dealId=895671-71446,51,"4,666,667",65333338.0,3450 BUSCHWOOD PARK DR. SUITE 201  TAMPA FL 33618,(813) 397-1187
258,"ConnectOne Bancorp, Inc.",CNOB,Nasdaq National Market,28.0,"1,600,000","$44,800,000",2013-02-12,/market-activity/ipos/overview?dealId=807284-71576,98,"4,752,951",133082628.0,301 SYLVAN AVENUE   ENGLEWOOD CLIFFS NJ 07632,201-816-8900
259,"Atlas Financial Holdings, Inc.",AFH,Nasdaq SmallCap Market,5.85,"4,125,000","$24,131,250",2013-02-12,/market-activity/ipos/overview?dealId=878039-70525,106,"7,644,392",44719693.199999996,"953 AMERICAN LANE, 3RD FLOOR   SCHAUMBURG IL 60173",847-472-6700
260,XOOM Corp,XOOM,Nasdaq National Market,16.0,"6,325,000","$101,200,000",2013-02-15,/market-activity/ipos/overview?dealId=662161-71573,150,"31,838,916",509422656.0,425 MARKET STREET 12TH FLOOR   SAN FRANCISCO CA 94105,415-660-1089
261,"Independent Bank Group, Inc.",IBTX,Nasdaq National Market,26.0,"3,200,000","$83,200,000",2013-04-03,/market-activity/ipos/overview?dealId=900799-71892,335,"11,469,707",298212382.0,1600 REDBUD BOULEVARD SUITE 400  MCKINNEY TX 75069,(972) 562-9004
262,"Vyant Bio, Inc.",CGIX,OTCBB,10.0,"600,000","$6,000,000",2013-04-05,/market-activity/ipos/overview?dealId=696388-68954,49,"4,200,717",42007170.0,"2370 STATE ROUTE 70 WEST SUITE 310  CHERRY HILL, NJ 08002",201.528.9200
263,Taylor Morrison Home Corp,TMHC,New York Stock Exchange,22.0,"28,572,000","$628,584,000",2013-04-10,/market-activity/ipos/overview?dealId=894212-71312,1041,"28,572,000",628584000.0,"4900 N. SCOTTSDALE ROAD, SUITE 2000   SCOTTSDALE AZ 85251",480-840-8100
264,"Omthera Pharmaceuticals, Inc.",OMTH,Nasdaq National Market,8.0,"8,000,000","$64,000,000",2013-04-11,/market-activity/ipos/overview?dealId=816563-71960,14,"24,414,868",195318944.0,707 STATE ROAD   NEW JERSEY NJ 08540,908-741-4323
265,CHIMERIX INC,CMRX,Nasdaq National Market,14.0,"7,320,000","$102,480,000",2013-04-11,/market-activity/ipos/overview?dealId=376315-71959,46,"24,410,085",341741190.0,"2505 MERIDIAN PARKWAY, SUITE 100   DURHAM NC 27713",919.806.1074
266,"EVERTEC, Inc.",EVTC,New York Stock Exchange,20.0,"25,263,159","$505,263,180",2013-04-12,/market-activity/ipos/overview?dealId=899009-71762,1660,"79,096,144",1581922880.0,"CUPEY CENTER BUILDING ROAD 176, KM 1.3  RIO PIEDRAS  00926",787.759.9999
267,Rally Software Development Corp,RALY,New York Stock Exchange,14.0,"6,000,000","$84,000,000",2013-04-12,/market-activity/ipos/overview?dealId=660534-71967,360,"22,744,329",318420606.0,3333 WALNUT STREET   BOULDER CO 80301,303-565-2800
268,Fairway Group Holdings Corp,FWM,Nasdaq National Market,13.0,"13,650,000","$177,450,000",2013-04-17,/market-activity/ipos/overview?dealId=890051-70840,4200,"25,811,608",335550904.0,2284 12TH Avenue   New York NY 10027,(646)616-8000
269,TAMINCO Corp,TAM,New York Stock Exchange,15.0,"15,789,474","$236,842,110",2013-04-18,/market-activity/ipos/overview?dealId=879716-71299,830,"65,228,438",978426570.0,"C/O APOLLO MANAGEMENT VII, L.P. 9 WEST 57TH STREET, 43RD FLOOR  NEW YORK NY 10019",610-366-6744
270,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,New York Stock Exchange,12.5,"13,333,333","$166,666,663",2013-04-18,/market-activity/ipos/overview?dealId=900116-71843,20,"15,127,372",189092150.0,"1906 TOWNE CENTRE BLVD, SUITE 370   ANNAPOLIS MD 21401",(410) 571-9860
271,Intelsat S.A.,I,New York Stock Exchange,18.0,"19,323,672","$347,826,096",2013-04-18,/market-activity/ipos/overview?dealId=882312-69954,1094,"104,928,391",1888711038.0,4 RUE ALBERT BORSCHETTE   LUXEMBOURG  L-1246,(352) 27 84 1600
272,"SeaWorld Entertainment, Inc.",SEAS,New York Stock Exchange,27.0,"26,000,000","$702,000,000",2013-04-19,/market-activity/ipos/overview?dealId=895907-71486,22100,"92,737,008",2503899216.0,6240 SEA HARBOR DRIVE   ORLANDO FL 32821,(407) 226-5011
273,"BLACKHAWK NETWORK HOLDINGS, INC",HAWK,Nasdaq National Market,23.0,"10,000,000","$230,000,000",2013-04-19,/market-activity/ipos/overview?dealId=755931-72008,725,"10,000,000",230000000.0,6220 STONERIDGE MALL ROAD   PLEASANTON CA 94588,925-226-9990
274,GW PHARMACEUTICALS PLC,GWPH,Nasdaq National Market,8.9,"3,500,000","$31,150,000",2013-05-01,/market-activity/ipos/overview?dealId=697497-72022,182,"3,500,000",31150000.0,"SOVEREIGN HOUSE VISION PARK  HISTON, CAMBRIDGE CB24 9BZ  00000",44 1223 266800
275,"Voya Financial, Inc.",VOYA,New York Stock Exchange,19.5,"65,192,307","$1,271,249,987",2013-05-02,/market-activity/ipos/overview?dealId=892778-71146,7000,"260,769,230",5084999985.0,230 PARK AVENUE   NEW YORK NY 10169,2123098200
276,"Insys Therapeutics, Inc.",INSY,Nasdaq National Market,8.0,"4,000,000","$32,000,000",2013-05-02,/market-activity/ipos/overview?dealId=851566-66697,119,"20,795,227",166361816.0,10220 SOUTH 51ST STREET SUITE 2  PHOENIX AZ 85044,602-910-2617
277,QIWI,QIWI,Nasdaq National Market,17.0,"12,500,000","$212,500,000",2013-05-03,/market-activity/ipos/overview?dealId=903038-72109,1013,"12,500,000",212500000.0,"12-14 KENNEDY AVE. KENNEDY BUSINESS CENTRE, OFFICE 203  NICOSIA  1087",01135722653390
278,"Armada Hoffler Properties, Inc.",AHH,New York Stock Exchange,11.5,"16,525,000","$190,037,500",2013-05-08,/market-activity/ipos/overview?dealId=902797-72088,100,"16,698,913",192037499.5,222 CENTRAL PARK AVENUE SUITE 2100  VIRGINIA BEACH VA 23462,757-366-4000
279,CYAN INC,CYNI,New York Stock Exchange,11.0,"8,000,000","$88,000,000",2013-05-09,/market-activity/ipos/overview?dealId=736558-72189,254,"44,531,318",489844498.0,1383 N MCDOWELL BLVD SUITE 300   PETALUMA CA 94954,707-735-2300
280,"American Residential Properties, Inc.",ARPI,New York Stock Exchange,21.0,"13,700,500","$287,710,500",2013-05-09,/market-activity/ipos/overview?dealId=881699-72065,48,"32,140,732",674955372.0,7047 EAST GREENWAY PARKWAY SUITE 350  SCOTTSDALE AZ 85254,(480) 474-4800
281,IQVIA HOLDINGS INC.,Q,New York Stock Exchange,40.0,"23,684,210","$947,368,400",2013-05-09,/market-activity/ipos/overview?dealId=817788-71842,26846,"128,915,390",5156615600.0,4820 EMPEROR BLVD.   DURHAM NC 27703,919-998-2000
282,"TriState Capital Holdings, Inc.",TSC,Nasdaq National Market,11.5,"5,700,000","$65,550,000",2013-05-09,/market-activity/ipos/overview?dealId=791982-72166,119,"27,822,779",319961958.5,"ONE OXFORD CENTRE 301 GRANT STREET, SUITE 2700  PITTSBURGH PA 15219",(412) 304-0304
283,"Receptos, Inc.",RCPT,Nasdaq National Market,14.0,"5,200,000","$72,800,000",2013-05-09,/market-activity/ipos/overview?dealId=805394-72192,36,"17,604,643",246465002.0,3033 SCIENCE PARK ROAD SUITE 300  SAN DIEGO CA 92121,858-652-5700
284,"PNMAC Holdings, Inc.",PFSI,New York Stock Exchange,18.0,"11,111,111","$199,999,998",2013-05-09,/market-activity/ipos/overview?dealId=899063-71768,910,"11,111,111",199999998.0,3043 TOWNSGATE ROAD   WESTLAKE VILLAGE CA 91361,(818) 224-7442
285,BioAmber Inc.,BIOAU,New York Stock Exchange,10.0,"8,000,000","$80,000,000",2013-05-10,/market-activity/ipos/overview?dealId=867818-68605,54,"18,412,815",184128150.0,"3850 ANNAPOLIS LANE NORTH, SUITE 180   PLYMOUTH MN 55447-5476",612-747-4423
286,Golden Mountain Financial Corp,NBCB,Nasdaq National Market,24.0,"4,166,667","$100,000,008",2013-05-10,/market-activity/ipos/overview?dealId=832922-72212,433,"17,229,692",413512608.0,210 BARONNE STREET   NEW ORLEANS LA 70112,985-788-1685
287,WILLIAM LYON HOMES,WLH,New York Stock Exchange,25.0,"8,700,000","$217,500,000",2013-05-16,/market-activity/ipos/overview?dealId=68007-72231,269,"26,971,129",674278225.0,"4695 MACARTHUR COURT, 8TH FLOOR   NEWPORT BEACH CA 92660",949-833-3600
288,"FRONTEO, INC.",UBIC,Nasdaq National Market,8.38,"1,100,000","$9,218,000",2013-05-16,/market-activity/ipos/overview?dealId=892266-71081,142,"1,100,000",9218000.0,"Meisan Takahama Building 2-12-23, Kounan  Minato-ku, Tokyo  108-0075",+81 (0) 3-5463-6344
289,AMBIT BIOSCIENCES CORP,AMBI,Nasdaq National Market,8.0,"8,125,000","$65,000,000",2013-05-16,/market-activity/ipos/overview?dealId=373539-71854,45,"17,712,558",141700464.0,11080 ROSELLE STREET   SAN DIEGO CA 92121,8583342100
290,"Marketo, Inc.",MKTO,Nasdaq National Market,13.0,"6,059,509","$78,773,617",2013-05-17,/market-activity/ipos/overview?dealId=827852-72170,373,"35,784,149",465193937.0,"901 MARINERS ISLAND BLVD., SUITE 500   SAN MATEO CA 94404",650 376-2300
291,Tableau Software Inc,DATA,New York Stock Exchange,31.0,"8,200,000","$254,200,000",2013-05-17,/market-activity/ipos/overview?dealId=649881-72167,834,"8,200,000",254200000.0,1621 N 34TH ST   SEATTLE WA 98103,206-633-3400
292,PORTOLA PHARMACEUTICALS INC,PTLA,Nasdaq National Market,14.5,"8,422,758","$122,129,991",2013-05-22,/market-activity/ipos/overview?dealId=603453-72263,57,"33,882,938",491302601.0,"270 EAST GRAND AVENUE, SUITE 22   SOUTH SAN FRANCISCO CA 94080",650-244-6864
293,PLY GEM HOLDINGS INC,PGEM,New York Stock Exchange,21.0,"15,789,474","$331,578,954",2013-05-23,/market-activity/ipos/overview?dealId=629230-64322,5336,"64,751,968",1359791328.0,5020 WESTON PARKWAY SUITE 400  CARY NC 27513,919-677-3900
294,CHANNELADVISOR CORP,ECOM,New York Stock Exchange,14.0,"5,750,000","$80,500,000",2013-05-23,/market-activity/ipos/overview?dealId=103169-72248,432,"20,471,561",286601854.0,3025 CARRINGTON MILL BOULEVARD   MORRISVILLE NC 27560,919-228-4700
295,"GLOBAL BRASS & COPPER HOLDINGS, INC.",BRSS,New York Stock Exchange,11.0,"7,000,000","$77,000,000",2013-05-23,/market-activity/ipos/overview?dealId=866793-68488,1986,"21,110,000",232210000.0,475 N. MARTINGALE ROAD SUITE 1200  SCHAUMBURG IL 60173,847-240-4700
296,CONSTELLIUM SE,CSTM,New York Stock Exchange,15.0,"22,222,222","$333,333,330",2013-05-23,/market-activity/ipos/overview?dealId=906378-72498,8845,"101,811,560",1527173400.0,WASHINGTON PLAZA 40-44 RUE WASHINGTON  PARIS  75008,33-1-73-01-46-51
297,KAMADA LTD,KMDA,Nasdaq National Market,9.25,"5,582,636","$51,639,383",2013-05-31,/market-activity/ipos/overview?dealId=904222-72250,292,"34,306,634",317336364.5,"2 HOLTZMAN ST., SCIENCE PARK   REHOVOT  7670402",97289406472
298,"Saleen Automotive, INC.",SLNN,OTCBB,0.55,"2,000,000","$1,100,000",2013-05-31,/market-activity/ipos/overview?dealId=862316-67967,22,"8,000,000",4400000.0,2735 WARDLOW ROAD   CORONA CA 92882,800-888-8945
299,"Epizyme, Inc.",EPZM,Nasdaq National Market,15.0,"5,142,000","$77,130,000",2013-05-31,/market-activity/ipos/overview?dealId=904612-72294,64,"27,643,764",414656460.0,400 TECHNOLOGY SQUARE 4TH FLOOR  CAMBRIDGE MA 02139,617-229-5872
300,"UCP, Inc.",UCP,New York Stock Exchange,15.0,"7,750,000","$116,250,000",2013-07-18,/market-activity/ipos/overview?dealId=903649-72191,63,"7,750,000",116250000.0,99 ALMADEN BOULEVARD SUITE 400  SAN JOSE CA 95113,408-207-9499
301,OncoMed Pharmaceuticals Inc,OMED,Nasdaq National Market,17.0,"4,800,000","$81,600,000",2013-07-18,/market-activity/ipos/overview?dealId=648784-69878,83,"27,064,671",460099407.0,800 CHESAPEAKE DRIVE   REDWOOD CITY CA 94063,650-995-8200
302,"Rexford Industrial Realty, Inc.",REXR,New York Stock Exchange,14.0,"16,000,000","$224,000,000",2013-07-19,/market-activity/ipos/overview?dealId=907299-72599,31,"25,229,818",353217452.0,"11620 WILSHIRE BOULEVARD, SUITE 1000   LOS ANGELES CA 90025",310-966-1680
303,"RetailMeNot, Inc.",SALE,Nasdaq National Market,21.0,"9,090,908","$190,909,068",2013-07-19,/market-activity/ipos/overview?dealId=816861-72821,331,"44,099,480",926089080.0,301 CONGRESS AVENUE SUITE 700  AUSTIN TX 78701,512.777.2970
304,"Vislink Technologies, Inc.",XGTI,Nasdaq SmallCap Market,5.5,"1,337,792","$7,357,856",2013-07-19,/market-activity/ipos/overview?dealId=901272-71944,73,"10,467,500",57571250.0,240 S. PINEAPPLE AVENUE SUITE 701  SARASOTA FL 34236,941 953 9035
305,"Diamond Resorts International, Inc.",DRII,New York Stock Exchange,14.0,"15,500,000","$217,000,000",2013-07-19,/market-activity/ipos/overview?dealId=908692-72784,5854,"73,294,118",1026117652.0,10600 WEST CHARLESTON BOULEVARD   LAS VEGAS NV 89135,(702) 798-8840
306,"AGIOS PHARMACEUTICALS, INC.",AGIO,Nasdaq National Market,18.0,"5,888,888","$105,999,984",2013-07-24,/market-activity/ipos/overview?dealId=782125-72746,85,"30,127,620",542297160.0,88 SIDNEY STREET   CAMBRIDGE MA 02139,617-649-8600
307,"HEAT BIOLOGICS, INC.",HTBX,Nasdaq SmallCap Market,10.0,"2,500,000","$25,000,000",2013-07-24,/market-activity/ipos/overview?dealId=816009-72434,12,"6,086,942",60869420.0,627 DAVIS DRIVE SUITE 400  MORRISVILLE NC 27560,919-240-7133
308,AENZA S.A.A.,GRAM,New York Stock Exchange,21.13,"19,534,884","$412,772,099",2013-07-24,/market-activity/ipos/overview?dealId=907957-72680,28257,"655,958,610",13860405429.3,AV. PASEO DE LA REPUBLICA 4667   LIMA  LIMA 34,5112136565
309,"Jones Energy, Inc.",JONE,New York Stock Exchange,15.0,"12,500,000","$187,500,000",2013-07-24,/market-activity/ipos/overview?dealId=907504-72629,73,"12,500,000",187500000.0,807 LAS CIMAS PARKWAY SUITE 350  AUSTIN TX 78746,512-328-2953
310,Histogen Inc.,CNAT,Nasdaq National Market,11.0,"6,000,000","$66,000,000",2013-07-25,/market-activity/ipos/overview?dealId=729017-72783,15,"15,575,485",171330335.0,10655 SORRENTO VALLEY ROAD SUITE 200  San Diego CA 92121,(858) 526-3100
311,"CELLULAR DYNAMICS INTERNATIONAL, INC.",ICEL,Nasdaq National Market,12.0,"3,846,000","$46,152,000",2013-07-25,/market-activity/ipos/overview?dealId=820046-72672,115,"15,734,749",188816988.0,525 SCIENCE DRIVE   MADISON WI 53711,(608) 310-5100
312,"Onconova Therapeutics, Inc.",ONTX,Nasdaq National Market,15.0,"5,166,667","$77,500,005",2013-07-25,/market-activity/ipos/overview?dealId=152644-72798,57,"20,614,278",309214170.0,375 PHEASANT RUN   NEWTOWN PA 18940,267-759-3681
313,"WCI Communities, Inc.",WCIC,New York Stock Exchange,15.0,"6,819,091","$102,286,365",2013-07-25,/market-activity/ipos/overview?dealId=907415-72617,572,"25,768,048",386520720.0,24301 WALDEN CENTER DRIVE   BONITA SPRINGS FL 34134,(239) 947-2600
314,"Liquid Holdings Group, Inc.",LIQD,Nasdaq National Market,9.0,"3,175,000","$28,575,000",2013-07-26,/market-activity/ipos/overview?dealId=904117-72244,71,"24,458,168",220123512.0,"111 RIVER STREET, STE. 1204   HOBOKEN NJ 07030",(212) 293-1836
315,"Sprouts Farmers Market, Inc.",SFM,Nasdaq National Market,18.0,"18,500,000","$333,000,000",2013-08-01,/market-activity/ipos/overview?dealId=906187-72471,13600,"143,658,944",2585860992.0,5455 E. HIGH ST. SUITE 111  PHOENIX AZ 85054,480-814-8016
316,Ardmore Shipping Corp,ASC,New York Stock Exchange,14.0,"10,000,000","$140,000,000",2013-08-01,/market-activity/ipos/overview?dealId=909839-72916,11,"18,050,000",252700000.0,69 PITTS BAY ROAD   HAMILTON  HM08,441-405-7800
317,American Homes 4 Rent,AMH,New York Stock Exchange,16.0,"44,117,647","$705,882,352",2013-08-01,/market-activity/ipos/overview?dealId=894390-72686,244,"178,238,572",2851817152.0,23975 PARK SORRENTO SUITE 300  CALABASAS CA 91302,(805) 413-5300
318,MARRONE BIO INNOVATIONS INC,MBII,Nasdaq National Market,12.0,"4,750,000","$57,000,000",2013-08-02,/market-activity/ipos/overview?dealId=784445-72928,109,"18,267,515",219210180.0,1540 DREW AVENUE   DAVIS CA 95618,530-750-2800
319,CONTROL4 CORP,CTRL,Nasdaq National Market,16.0,"4,000,000","$64,000,000",2013-08-02,/market-activity/ipos/overview?dealId=425045-72923,333,"22,094,267",353508272.0,11734 SOUTH ELECTION ROAD   SALT LAKE CITY UT 84020,801-523-3100
320,Athlon Energy Inc.,ATHL,New York Stock Exchange,20.0,"15,789,474","$315,789,480",2013-08-02,/market-activity/ipos/overview?dealId=908050-72689,57,"82,129,089",1642581780.0,420 THROCKMORTON STREET SUITE 1200  FORT WORTH TX 76102,817-984-8200
321,Yume Inc,YUME,New York Stock Exchange,9.0,"5,125,000","$46,125,000",2013-08-07,/market-activity/ipos/overview?dealId=761925-72940,357,"31,802,355",286221195.0,1204 MIDDLEFIELD ROAD   Redwood City CA 94063,650-591-9400
322,"PRECIGEN, INC.",XON,New York Stock Exchange,16.0,"9,999,999","$159,999,984",2013-08-08,/market-activity/ipos/overview?dealId=702326-72988,201,"95,210,329",1523365264.0,20374 SENECA MEADOWS PARKWAY   GERMANTOWN MD 20876,301-556-9900
323,FOX FACTORY HOLDING CORP,FOXF,Nasdaq National Market,15.0,"8,571,429","$128,571,435",2013-08-08,/market-activity/ipos/overview?dealId=768346-72980,545,"36,317,087",544756305.0,6634 HWY 53   BRASELTON GA 30517,831-274-6500
324,"BMC STOCK HOLDINGS, INC.",STCK,Nasdaq National Market,14.0,"7,000,000","$98,000,000",2013-08-09,/market-activity/ipos/overview?dealId=908837-72803,2557,"26,064,373",364901222.0,"4800 FALLS OF NEUSE RD, SUITE 400   RALEIGH NC 27609",919-431-1000
325,CVENT INC,CVT,New York Stock Exchange,21.0,"5,600,000","$117,600,000",2013-08-09,/market-activity/ipos/overview?dealId=164595-72974,1300,"38,667,164",812010444.0,1765 GREENSBORO STATION PLACE 7TH FLOOR  TYSONS CORNER VA 22102,703-226-3500
326,FRANK'S INTERNATIONAL N.V.,FI,New York Stock Exchange,22.0,"30,000,000","$660,000,000",2013-08-09,/market-activity/ipos/overview?dealId=906328-72486,4100,"149,024,000",3278528000.0,MASTENMAKERSWEG 1   DEN HELDER  1786 PB,31223670000
327,MiX Telematics Ltd,MIXT,New York Stock Exchange,16.0,"6,296,098","$100,737,568",2013-08-09,/market-activity/ipos/overview?dealId=910131-72957,937,"6,296,098",100737568.0,PO BOX 12326 VORNA VALLEY  JOHANNESBURG  1686,27-11-654-8279
