,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth
69,Palo Alto Networks Inc,PANW,New York Stock Exchange,42.0,"6,200,000","$260,400,000",2012-07-20,/market-activity/ipos/overview?dealId=674528-69601,692,"66,601,444",2797260648.0,3000 TANNERY WAY   SANTA CLARA CA 95054,408-753-4000,"Computer Peripheral Equipment, Not Elsewhere Classified",-10404000.0,86324000.0,-12528000.0,118597000.0,32273000.0,91172000.0,1.4311631339428477
70,"CHUY'S HOLDINGS, INC.",CHUY,Nasdaq National Market,13.0,"5,833,333","$75,833,329",2012-07-24,/market-activity/ipos/overview?dealId=861521-67870,3954,"15,043,428",195564564.0,1623 TOOMEY ROAD   AUSTIN TX 78704,512-473-2783,Retail-Eating Places,9460000.0,25980000.0,3464000.0,130583000.0,104603000.0,105938000.0,0.3758903359042441
71,"Natural Grocers by Vitamin Cottage, Inc.",NGVC,New York Stock Exchange,15.0,"7,142,857","$107,142,855",2012-07-25,/market-activity/ipos/overview?dealId=884127-70144,1554,"21,803,031",327045465.0,12612 W. ALAMEDA PARKWAY   LAKEWOOD CO 80228,877-986-4600,Retail-Grocery Stores,7411000.0,77382000.0,3504000.0,264544000.0,187162000.0,78915383.0,0.16585402601860913
72,GLOBUS MEDICAL INC,GMED,New York Stock Exchange,12.0,"8,333,333","$99,999,996",2012-08-03,/market-activity/ipos/overview?dealId=409317-69524,724,"62,503,441",750041292.0,2560 GENERAL ARMISTEAD AVENUE   AUDUBON PA 19403,610-930-1800,Surgical and Medical Instruments and Apparatus,97362000.0,262682000.0,60784000.0,331478000.0,68796000.0,329390000.0,0.1501865056645674
73,"Bloomin' Brands, Inc.",BLMN,Nasdaq National Market,11.0,"16,000,000","$176,000,000",2012-08-08,/market-activity/ipos/overview?dealId=879125-69597,86000,"119,906,167",1318967837.0,2202 NORTH WEST SHORE BOULEVARD SUITE 500  TAMPA FL 33607,813-282-1225,Retail-Eating Places,213452000.0,631045000.0,100005000.0,3841264000.0,3210219000.0,3353936000.0,0.058699049992462005
74,VYCOR MEDICAL INC,VYCO,OTCBB,0.04,"93,602,221","$3,744,089",2012-08-22,/market-activity/ipos/overview?dealId=772608-57908,21,"841,527,668",33661106.72,"951 BROKEN SOUND PARKWAY SUITE 320  BOCA RATON, FL 33487",562.558.2000,Surgical and Medical Instruments and Apparatus,-4627681.0,795109.0,-4778541.0,971367.0,176258.0,3571640.0,2.0695749723495025
75,"QUALYS, INC.",QLYS,Nasdaq National Market,12.0,"7,575,000","$90,900,000",2012-09-28,/market-activity/ipos/overview?dealId=375214-70088,334,"30,050,974",360611688.0,919 E. HILLSDALE BLVD.   FOSTER CITY CA 94404,650-801-6100,Services-Prepackaged Software,2906000.0,62965000.0,1954000.0,76212000.0,13247000.0,68789000.0,0.16475119207727107
76,LUXFER HOLDINGS PLC,LXFR,New York Stock Exchange,10.0,"8,000,000","$80,000,000",2012-10-03,/market-activity/ipos/overview?dealId=107562-68738,1449,"8,000,000",80000000.0,LUMNS LANE   MANCHESTER  M27 8LN,44161300-0600,Industrial Inorganic Chemicals,64100000.0,120400000.0,40300000.0,510800000.0,390400000.0,364300000.0,0.2684380432083437
77,"BERRY GLOBAL GROUP, INC.",BERY,New York Stock Exchange,16.0,"29,411,764","$470,588,224",2012-10-04,/market-activity/ipos/overview?dealId=724283-69480,15000,"112,600,136",1801602176.0,101 OAKLEY STREET PO BOX 959  EVANSVILLE IN 47710,8124242904,"Plastics Products, Not Elsewhere Classified",42000000.0,653000000.0,-299000000.0,4561000000.0,3908000000.0,5217000000.0,0.0714117923420249
78,AMBARELLA INC,AMBA,Nasdaq National Market,6.0,"6,000,000","$36,000,000",2012-10-10,/market-activity/ipos/overview?dealId=622350-67386,425,"25,909,462",155456772.0,3101 JAY STREET   SANTA CLARA CA 95054,408-734-8888,Semiconductors and Related Devices,15477000.0,60239000.0,13929000.0,94739000.0,34500000.0,64133000.0,0.324557846906676
79,"Shutterstock, Inc.",SSTK,New York Stock Exchange,17.0,"4,500,000","$76,500,000",2012-10-11,/market-activity/ipos/overview?dealId=881786-69899,224,"32,838,281",558250777.0,350 FIFTH AVENUE 21ST FLOOR  NEW YORK NY 10118,646-419-4452,Services-Computer Processing and Data Preparation,22890000.0,74767000.0,21864000.0,120271000.0,45504000.0,24855000.0,0.4495197232834778
80,REALOGY HOLDINGS CORP.,RLGY,New York Stock Exchange,27.0,"40,000,000","$1,080,000,000",2012-10-11,/market-activity/ipos/overview?dealId=743581-70078,10900,"130,153,234",3514137318.0,175 PARK AVENUE   MADISON NJ 07940,973-407-2000,Real Estate Agents and Managers (For Others),270000000.0,891000000.0,-441000000.0,4093000000.0,3202000000.0,7350000000.0,0.0007334963325183374
81,"Diamondback Energy, Inc.",FANG,Nasdaq National Market,17.5,"12,500,000","$218,750,000",2012-10-12,/market-activity/ipos/overview?dealId=874323-69211,54,"35,111,532",614451810.0,500 WEST TEXAS SUITE 1200  MIDLAND TX 79701,405-463-6900,Crude Petroleum and Natural Gas,15147000.0,37500000.0,-386000.0,49366000.0,11866000.0,263578000.0,0.811396910431879
82,PBF Energy Inc.,PBF,New York Stock Exchange,26.0,"20,500,000","$533,000,000",2012-12-13,/market-activity/ipos/overview?dealId=867850-68610,1578,"20,500,000",533000000.0,1 SYLVAN WAY   PARSIPPANY NJ 07054,973-455-7500,Petroleum Refining,305690000.0,1105175000.0,242671000.0,14960338000.0,13855163000.0,3621109000.0,70.01280195185859
83,SOLARCITY CORP,SCTY,Nasdaq National Market,8.0,"11,500,000","$92,000,000",2012-12-13,/market-activity/ipos/overview?dealId=752655-70925,2300,"73,079,499",584635992.0,3055 CLEARVIEW WAY   SAN MATEO CA 94402,650-638-1028,Services-Miscellaneous Business Services,49187000.0,271199000.0,-6759000.0,311898000.0,40699000.0,1332861000.0,0.14689043246761366
84,"USA Compression Partners, LP",USAC,New York Stock Exchange,18.0,"11,000,000","$198,000,000",2013-01-15,/market-activity/ipos/overview?dealId=857263-67370,227,"15,048,588",270874584.0,111 CONGRESS AVENUE SUITE 2400  AUSTIN TX 78701,512-473-2662,Natural Gas Transmission,20842000.0,80991000.0,4503000.0,118787000.0,37796000.0,872645000.0,0.20327188006482982
85,CyrusOne Inc.,CONE,Nasdaq National Market,19.0,"16,500,000","$313,500,000",2013-01-18,/market-activity/ipos/overview?dealId=887203-70479,250,"19,413,165",368850135.0,2850 N HARWOOD ST SUITE 2200  DALLAS TX 75201,(972) 350-0060,Real Estate Investment Trusts,16300000.0,144800000.0,-20300000.0,220800000.0,76000000.0,1210900000.0,0.21518987341772153
86,Norwegian Cruise Line Holdings Ltd.,NCLH,Nasdaq National Market,19.0,"23,529,412","$447,058,828",2013-01-18,/market-activity/ipos/overview?dealId=859940-67674,14072,"200,468,080",3808893520.0,7665 CORPORATE DRIVE   MIAMI FL 33126,305-436-4000,Water transportation,357093000.0,797813000.0,168556000.0,2276246000.0,1478433000.0,5938427000.0,0.025648350578824905
87,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM,New York Stock Exchange,22.0,"10,100,000","$222,200,000",2013-01-25,/market-activity/ipos/overview?dealId=780783-71043,22000,"62,871,119",1383164618.0,2 WELLS AVENUE   NEWTON MA 02459,617-673-8000,Services-Child Day Care Services,95464000.0,245770000.0,8162000.0,1070938000.0,825168000.0,1916108000.0,0.0998633050597668
88,"TRI Pointe Homes, Inc.",TPH,New York Stock Exchange,17.0,"13,689,000","$232,713,000",2013-01-31,/market-activity/ipos/overview?dealId=895796-71464,53,"31,597,907",537164419.0,"940 SOUTHWOOD BLVD, SUITE 200   INCLINE VILLAGE NV 89451",(775) 413-1030,Operative Builders,98715000.0,258371000.0,61481000.0,1070306000.0,811935000.0,217516000.0,54.373066376946554
89,Zoetis Inc.,ZTS,New York Stock Exchange,26.0,"86,100,000","$2,238,600,000",2013-02-01,/market-activity/ipos/overview?dealId=887531-70515,9500,"86,100,000",2238600000.0,10 SYLVAN WAY   PARSIPPANY NJ 07054,973-822-7000,Pharmaceutical Preparations,695000000.0,2773000000.0,436000000.0,4336000000.0,1563000000.0,6262000000.0,0.024332624616111506
90,BOISE CASCADE Co,BCC,New York Stock Exchange,21.0,"11,764,706","$247,058,826",2013-02-06,/market-activity/ipos/overview?dealId=676843-71188,4470,"41,464,706",870758826.0,"1111 WEST JEFFERSON STREET, SUITE 300 P. O. BOX 50  BOISE ID 83702",(208) 384-6161,Wholesale-Lumber and Other Construction Materials,63131000.0,375617000.0,41496000.0,2779062000.0,2403445000.0,827784000.0,0.23618915273779317
91,ExOne Co,XONE,Nasdaq National Market,18.0,"5,300,000","$95,400,000",2013-02-07,/market-activity/ipos/overview?dealId=896804-71557,155,"12,798,272",230368896.0,127 INDUSTRY BOULEVARD   NORTH HUNTINGDON PA 15642,724-863-9663,Printing Trades Machinery and Equipment,-8072000.0,12143000.0,-10168000.0,28657000.0,16514000.0,33075000.0,0.8742315238718117
92,Taylor Morrison Home Corp,TMHC,New York Stock Exchange,22.0,"28,572,000","$628,584,000",2013-04-10,/market-activity/ipos/overview?dealId=894212-71312,1041,"28,572,000",628584000.0,"4900 N. SCOTTSDALE ROAD, SUITE 2000   SCOTTSDALE AZ 85251",480-840-8100,Operative Builders,94376000.0,206641000.0,0.0,1041182000.0,834541000.0,2738056000.0,-0.24011685996145052
93,"EVERTEC, Inc.",EVTC,New York Stock Exchange,20.0,"25,263,159","$505,263,180",2013-04-12,/market-activity/ipos/overview?dealId=899009-71762,1660,"79,096,144",1581922880.0,"CUPEY CENTER BUILDING ROAD 176, KM 1.3  RIO PIEDRAS  00926",787.759.9999,Services-Computer Processing and Data Preparation,79646000.0,182824000.0,77366000.0,342490000.0,159666000.0,977745000.0,0.06654168820572866
94,"SeaWorld Entertainment, Inc.",SEAS,New York Stock Exchange,27.0,"26,000,000","$702,000,000",2013-04-19,/market-activity/ipos/overview?dealId=895907-71486,22100,"92,737,008",2503899216.0,6240 SEA HARBOR DRIVE   ORLANDO FL 32821,(407) 226-5011,Services-Miscellaneous Amusement and Recreation,222716000.0,574611000.0,74221000.0,1423752000.0,849141000.0,2521052000.0,0.0698676108790824
95,GW PHARMACEUTICALS PLC,GWPH,Nasdaq National Market,8.9,"3,500,000","$31,150,000",2013-05-01,/market-activity/ipos/overview?dealId=697497-72022,182,"3,500,000",31150000.0,"SOVEREIGN HOUSE VISION PARK  HISTON, CAMBRIDGE CB24 9BZ  00000",44 1223 266800,Pharmaceutical Preparations,1749000.0,52128000.0,4021000.0,53482000.0,1355000.0,69311000.0,0.15879791129504042
96,QIWI,QIWI,Nasdaq National Market,17.0,"12,500,000","$212,500,000",2013-05-03,/market-activity/ipos/overview?dealId=903038-72109,1013,"12,500,000",212500000.0,"12-14 KENNEDY AVE. KENNEDY BUSINESS CENTRE, OFFICE 203  NICOSIA  1087",01135722653390,"Services-Business Services, Not Elsewhere Classified",48634000.0,113171000.0,26443000.0,291719000.0,178548000.0,612439000.0,0.1486628026019436
97,"Armada Hoffler Properties, Inc.",AHH,New York Stock Exchange,11.5,"16,525,000","$190,037,500",2013-05-08,/market-activity/ipos/overview?dealId=902797-72088,100,"16,698,913",192037499.5,222 CENTRAL PARK AVENUE SUITE 2100  VIRGINIA BEACH VA 23462,757-366-4000,Real estate,24691000.0,40832000.0,8897000.0,108482000.0,67650000.0,331813000.0,-0.16667690889537565
98,CHANNELADVISOR CORP,ECOM,New York Stock Exchange,14.0,"5,750,000","$80,500,000",2013-05-23,/market-activity/ipos/overview?dealId=103169-72248,432,"20,471,561",286601854.0,3025 CARRINGTON MILL BOULEVARD   MORRISVILLE NC 27560,919-228-4700,Services-Prepackaged Software,-3849000.0,38838000.0,-4933000.0,53587000.0,14749000.0,48022000.0,0.22990589855405094
99,CONSTELLIUM SE,CSTM,New York Stock Exchange,15.0,"22,222,222","$333,333,330",2013-05-23,/market-activity/ipos/overview?dealId=906378-72498,8845,"101,811,560",1527173400.0,WASHINGTON PLAZA 40-44 RUE WASHINGTON  PARIS  75008,33-1-73-01-46-51,Secondary Smelting and Refining of Nonferrous Metals,347000000.0,625000000.0,186000000.0,4759000000.0,4135000000.0,2150000000.0,0.030979202772963604
100,KAMADA LTD,KMDA,Nasdaq National Market,9.25,"5,582,636","$51,639,383",2013-05-31,/market-activity/ipos/overview?dealId=904222-72250,292,"34,306,634",317336364.5,"2 HOLTZMAN ST., SCIENCE PARK   REHOVOT  7670402",97289406472,Pharmaceutical Preparations,4238000.0,22693000.0,260000.0,72675000.0,49982000.0,89114000.0,0.22177765075735925
101,"Rexford Industrial Realty, Inc.",REXR,New York Stock Exchange,14.0,"16,000,000","$224,000,000",2013-07-19,/market-activity/ipos/overview?dealId=907299-72599,31,"25,229,818",353217452.0,"11620 WILSHIRE BOULEVARD, SUITE 1000   LOS ANGELES CA 90025",310-966-1680,Real Estate Investment Trusts,5100000.0,22167000.0,-8957000.0,31417000.0,9250000.0,420496000.0,0.20090975115630136
102,"Sprouts Farmers Market, Inc.",SFM,Nasdaq National Market,18.0,"18,500,000","$333,000,000",2013-08-01,/market-activity/ipos/overview?dealId=906187-72471,13600,"143,658,944",2585860992.0,5455 E. HIGH ST. SUITE 111  PHOENIX AZ 85054,480-814-8016,Retail-Grocery Stores,70685000.0,530309000.0,19500000.0,1794823000.0,1264514000.0,1103236000.0,0.6229831654276824
103,MARRONE BIO INNOVATIONS INC,MBII,Nasdaq National Market,12.0,"4,750,000","$57,000,000",2013-08-02,/market-activity/ipos/overview?dealId=784445-72928,109,"18,267,515",219210180.0,1540 DREW AVENUE   DAVIS CA 95618,530-750-2800,Agricultural Chemicals,-23838000.0,2807000.0,-38794000.0,7140000.0,4333000.0,33778000.0,0.35974100171395923
104,FOX FACTORY HOLDING CORP,FOXF,Nasdaq National Market,15.0,"8,571,429","$128,571,435",2013-08-08,/market-activity/ipos/overview?dealId=768346-72980,545,"36,317,087",544756305.0,6634 HWY 53   BRASELTON GA 30517,831-274-6500,"Motorcycles, Bicycles and Parts",26154000.0,62829000.0,14210000.0,235869000.0,173040000.0,142120000.0,0.19282994249996208
105,FRANK'S INTERNATIONAL N.V.,FI,New York Stock Exchange,22.0,"30,000,000","$660,000,000",2013-08-09,/market-activity/ipos/overview?dealId=906328-72486,4100,"149,024,000",3278528000.0,MASTENMAKERSWEG 1   DEN HELDER  1786 PB,31223670000,"Oil and Gas Field Services, Not Elsewhere Classified",361520000.0,613447000.0,260919000.0,1039054000.0,425607000.0,1107961000.0,0.4443100754505068
106,"Benefitfocus, Inc.",BNFT,Nasdaq National Market,26.5,"4,935,000","$130,777,500",2013-09-18,/market-activity/ipos/overview?dealId=913349-73249,800,"24,312,049",644269298.5,100 BENEFITFOCUS WAY   CHARLESTON SC 29492,843-849-7476,Services-Prepackaged Software,-12802000.0,37339000.0,-14873000.0,81739000.0,44400000.0,58226000.0,0.18836049605280375
107,"FireEye, Inc.",FEYE,Nasdaq National Market,20.0,"15,175,000","$303,500,000",2013-09-20,/market-activity/ipos/overview?dealId=716732-73149,932,"117,470,849",2349416980.0,601 MCCARTHY BLVD   MILPITAS CA 95035,408-321-6300,"Computer Peripheral Equipment, Not Elsewhere Classified",-33619000.0,65686000.0,-35756000.0,83316000.0,17630000.0,125273000.0,1.4753698972012597
108,"APPLIED OPTOELECTRONICS, INC.",AAOI,Nasdaq National Market,10.0,"3,600,000","$36,000,000",2013-09-26,/market-activity/ipos/overview?dealId=134164-73239,927,"12,604,334",126043340.0,13139 JESS PIRTLE BLVD   SUGAR LAND TX 77478,281-295-1800,Semiconductors and Related Devices,179000.0,18929000.0,-945000.0,63421000.0,44492000.0,65748000.0,0.3256897993311037
109,"RingCentral, Inc.",RNG,New York Stock Exchange,13.0,"7,500,000","$97,500,000",2013-09-27,/market-activity/ipos/overview?dealId=730508-73332,399,"7,500,000",97500000.0,20 DAVIS DRIVE   BELMONT CA 94002,650-472-4100,Services-Computer Processing and Data Preparation,-33827000.0,69623000.0,-35390000.0,114526000.0,44903000.0,63354000.0,0.451956844200464
110,"Empire State Realty Trust, Inc.",ESRT,New York Stock Exchange,13.0,"71,500,000","$929,500,000",2013-10-02,/market-activity/ipos/overview?dealId=874148-69200,629,"90,524,236",1176815068.0,"111 WEST 33RD STREET, 12TH FL   NEW YORK NY 10120",212-953-0888,Real Estate Investment Trusts,88689000.0,154589000.0,0.0,260294000.0,105705000.0,1052553000.0,-0.11701290418877294
111,"Burlington Stores, Inc.",BURL,New York Stock Exchange,17.0,"13,333,333","$226,666,661",2013-10-02,/market-activity/ipos/overview?dealId=909685-72895,29556,"71,632,530",1217753010.0,1830 ROUTE 130 NORTH   BURLINGTON NJ 08016,609-387-7800,Retail-Department Stores,146523000.0,1524067000.0,-6272000.0,3887531000.0,2363464000.0,2501143000.0,0.0503749031703912
112,POTBELLY CORP,PBPB,Nasdaq National Market,14.0,"7,500,000","$105,000,000",2013-10-04,/market-activity/ipos/overview?dealId=381367-73366,5000,"28,006,535",392091490.0,111 N. CANAL SUITE 850  CHICAGO IL 60606,3129510600,Retail-Eating Places,8565000.0,85572000.0,24046000.0,274914000.0,189342000.0,126699000.0,0.1552658783187514
113,"QTS Realty Trust, Inc.",QTS,New York Stock Exchange,21.0,"12,250,000","$257,250,000",2013-10-09,/market-activity/ipos/overview?dealId=913694-73271,415,"27,002,274",567047754.0,"12851 FOSTER STREET, SUITE 205   OVERLAND PARK KS 66213",913-814-9988,Real Estate Investment Trusts,15515000.0,90621000.0,-9767000.0,145759000.0,55138000.0,685443000.0,0.11781803122795177
114,ANTERO RESOURCES Corp,AR,New York Stock Exchange,44.0,"35,725,000","$1,571,900,000",2013-10-10,/market-activity/ipos/overview?dealId=776600-72777,184,"260,100,000",11444400000.0,1615 WYNKOOP STREET   DENVER CO 80202,303-357-7325,Crude Petroleum and Natural Gas,444015000.0,638381000.0,-285069000.0,735718000.0,97337000.0,3618793000.0,0.06417126995905131
115,VEEVA SYSTEMS INC,VEEV,New York Stock Exchange,20.0,"13,045,000","$260,900,000",2013-10-16,/market-activity/ipos/overview?dealId=737944-73466,593,"13,045,000",260900000.0,4280 HACIENDA DRIVE   PLEASANTON CA 94588,925-264-8887,Services-Prepackaged Software,6638000.0,32206000.0,4230000.0,61262000.0,29056000.0,41414000.0,1.1031274674722784
116,"OneMain Holdings, Inc.",LEAF,New York Stock Exchange,17.0,"21,045,148","$357,767,516",2013-10-16,/market-activity/ipos/overview?dealId=913653-73266,4500,"111,631,667",1897738339.0,601 N.W. SECOND STREET   EVANSVILLE IN 47708,(812) 424-8031,Services-Computer Processing and Data Preparation,-3286000.0,153336000.0,6176000.0,207640000.0,54304000.0,637997000.0,-0.3608441634396951
117,voxeljet AG,VJET,New York Stock Exchange,13.0,"6,500,000","$84,500,000",2013-10-18,/market-activity/ipos/overview?dealId=915787-73505,87,"6,500,000",84500000.0,PAUL-LENZ STRASSE 1   FRIEDBERG  86316,(49) 821 7483 100,Printing Trades Machinery and Equipment,887000.0,4949000.0,280000.0,11485000.0,6535000.0,14157000.0,0.21908502282135656
118,"CommScope Holding Company, Inc.",COMM,Nasdaq National Market,15.0,"38,461,537","$576,923,055",2013-10-25,/market-activity/ipos/overview?dealId=852007-73151,12500,"185,653,830",2784807450.0,1100 COMMSCOPE PLACE SE   HICKORY NC 28602,8283242200,Radio and Television Broadcasting and Communications Equipment,238238000.0,1060681000.0,5353000.0,3321885000.0,2261204000.0,4793264000.0,0.01417296247063773
119,Sprague Resources LP,SRLP,New York Stock Exchange,18.0,"8,500,000","$153,000,000",2013-10-25,/market-activity/ipos/overview?dealId=860835-67776,400,"10,071,970",181295460.0,185 INTERNATIONAL DRIVE   PORTSMOUTH NH 03801,(800) 225-1560,Wholesale-Petroleum Bulk Stations and Terminals,7456000.0,121555000.0,-12831000.0,4043907000.0,3922352000.0,1054247000.0,0.06490710683839347
120,Criteo S.A.,CRTO,Nasdaq National Market,31.0,"8,082,580","$250,559,980",2013-10-30,/market-activity/ipos/overview?dealId=915813-73513,746,"55,298,218",1714244758.0,32 RUE BLANCHE   PARIS  75009,33140402290,Services-Advertising Agencies,11794000.0,133800000.0,1096000.0,358416000.0,224616000.0,180793000.0,0.923173093949036
121,Brixmor Property Group Inc.,BRX,New York Stock Exchange,20.0,"41,250,000","$825,000,000",2013-10-30,/market-activity/ipos/overview?dealId=911024-73051,475,"223,492,460",4469849200.0,450 LEXINGTON AVENUE   NEW YORK NY 10017,(212) 869-3000,Real Estate Investment Trusts,224693000.0,814236000.0,-122567000.0,1088254000.0,274018000.0,9603729000.0,-0.022567317537588245
122,"VERACYTE, INC.",VCYT,Nasdaq National Market,13.0,"5,000,000","$65,000,000",2013-10-30,/market-activity/ipos/overview?dealId=729484-73535,107,"20,989,890",272868570.0,"6000 SHORELINE COURT, SUITE 300   SOUTH SAN FRANCISCO CA 94080",(650) 243-6300,Services-Medical Laboratories,-18929000.0,4044000.0,-18649000.0,11628000.0,7584000.0,19067000.0,3.396219281663516
123,"Marcus & Millichap, Inc.",MMI,New York Stock Exchange,12.0,"6,000,000","$72,000,000",2013-10-31,/market-activity/ipos/overview?dealId=916221-73551,513,"35,700,897",428410764.0,23975 PARK SORRENTO SUITE 400  CALABASAS CA 91302,818-212-2250,Real Estate Agents and Managers (For Others),49008000.0,155468000.0,27934000.0,385716000.0,230248000.0,89733000.0,0.4041098633079121
124,"Container Store Group, Inc.",TCS,New York Stock Exchange,18.0,"12,500,000","$225,000,000",2013-11-01,/market-activity/ipos/overview?dealId=756081-73610,5375,"46,047,915",828862470.0,500 Freeport Parkway   Coppell TX 75019,972-538-6000,"Retail-Home Furniture, Furnishings and Equipment Stores",-6418000.0,367264000.0,-30671000.0,633619000.0,266355000.0,746678000.0,0.113918286980064
125,Wix.com Ltd.,WIX,Nasdaq National Market,16.5,"7,700,000","$127,050,000",2013-11-06,/market-activity/ipos/overview?dealId=916877-73633,452,"36,601,064",603917556.0,40 NAMAL TEL AVIV ST.   TEL AVIV  6701101,97235454900,"Services-Computer Programming, Data Processing, Etc.",-14961000.0,34443000.0,-14972000.0,43676000.0,9233000.0,16055000.0,0.7754471544715447
126,"TWITTER, INC.",TWTR,New York Stock Exchange,26.0,"70,000,000","$1,820,000,000",2013-11-07,/market-activity/ipos/overview?dealId=763922-73652,2300,"544,696,816",14162117216.0,"1355 MARKET STREET, SUITE 900   San Francisco CA 94103",(415) 222-9670,"Services-Computer Programming, Data Processing, Etc.",-77083000.0,188165000.0,-79399000.0,316933000.0,128768000.0,831568000.0,1.9811311880955293
127,"LGI Homes, Inc.",LGIH,Nasdaq National Market,11.0,"9,000,000","$99,000,000",2013-11-07,/market-activity/ipos/overview?dealId=914262-73351,191,"19,413,449",213547939.0,1450 LAKE ROBBINS DRIVE SUITE 430  THE WOODLANDS TX 77380,281-362-8998,Operative Builders,8325000.0,21690000.0,9705000.0,76221000.0,54531000.0,45556151.0,0.5106381760054308
128,"CHEGG, INC",CHGG,New York Stock Exchange,12.5,"15,000,000","$187,500,000",2013-11-13,/market-activity/ipos/overview?dealId=711152-73250,613,"81,728,265",1021603312.5,3990 FREEDOM CIRCLE   SANTA CLARA CA 95054,408-855-5700,Services-Educational Services,-47849000.0,67665000.0,-49043000.0,213334000.0,145669000.0,196367000.0,0.24018416677324467
129,"ESH Hospitality, Inc.",STAY,New York Stock Exchange,20.0,"28,250,000","$565,000,000",2013-11-13,/market-activity/ipos/overview?dealId=843701-73067,10400,"200,450,000",4009000000.0,11525 N. COMMUNITY HOUSE ROAD SUITE 100  CHARLOTTE NC 28277,980-345-1600,Hotels and Motels,284272000.0,517827000.0,20732000.0,1011462000.0,493635000.0,4491734000.0,0.07290968338693664
130,Houghton Mifflin Harcourt Co,HMHC,Nasdaq National Market,12.0,"18,250,000","$219,000,000",2013-11-14,/market-activity/ipos/overview?dealId=912184-73152,3300,"139,955,578",1679466936.0,125 HIGH STREET   BOSTON MA 02110,617-351-5000,"Books: Publishing, or Publishing and Printing",-120687000.0,454217000.0,-236253000.0,1285641000.0,831424000.0,3029584000.0,-0.0074531284379234074
131,Navigator Holdings Ltd.,NVGS,New York Stock Exchange,19.0,"12,000,000","$228,000,000",2013-11-21,/market-activity/ipos/overview?dealId=918065-73758,22,"55,326,765",1051208535.0,VERDE BUILDING 10 BRESSENDEN PLACE  LONDON  SW1E 5DH,44 (0) 20 7340 4852,Deep Sea Foreign Transportation of Freight,39722330.0,86098936.0,30535845.0,146716403.0,60617467.0,832254484.0,0.6508249967271299
132,Evogene Ltd.,EVGN,New York Stock Exchange,14.75,"5,000,000","$73,750,000",2013-11-21,/market-activity/ipos/overview?dealId=916214-73550,187,"24,069,577",355026260.75,13 GAD FEINSTEIN STREET PARK REHOVOT P.O.B 2100  REHOVOT  76121,97289311900,Agricultural Chemicals,-3126000.0,7520000.0,-2522000.0,17072000.0,9552000.0,64855000.0,0.14569491980404
133,Ideal Power Inc.,IPWR,Nasdaq SmallCap Market,5.0,"3,000,000","$15,000,000",2013-11-22,/market-activity/ipos/overview?dealId=843917-73172,10,"6,200,357",31001785.0,4120 FREIDRICH LANE SUITE 100  AUSTIN TX 78744,512-264-1542,Electrical Industrial Apparatus,-3038307.0,3043.0,-4647219.0,1126907.0,1123864.0,3207003.0,0.30918327871175955
134,VINCE HOLDING CORP.,VNCE,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2013-11-22,/market-activity/ipos/overview?dealId=916301-73562,1514,"36,263,585",725271700.0,500 FIFTH AVENUE 20TH FLOOR  NEW YORK NY 10110,212-515-2600,Retail-Apparel and Accessory Stores,42917000.0,85710000.0,-147866000.0,175255000.0,89545000.0,468445000.0,-0.7012226931299376
135,500.com Ltd,WBAI,New York Stock Exchange,13.0,"5,786,000","$75,218,000",2013-11-22,/market-activity/ipos/overview?dealId=918353-73781,353,"5,786,000",75218000.0,"14F, WEST SIDE, BLOCK B, BUILDING NO. 7 SHENZHEN BAY ECO-TECHNOLOGY PARK  NANSHAN DISTRICT, SHENZHEN  518115",(86 755) 8633 0000,Services-Miscellaneous Amusement and Recreation,3389000.0,24566000.0,681000.0,27531000.0,2966000.0,60887000.0,-0.2541651992522959
136,Autohome Inc.,ATHM,New York Stock Exchange,17.0,"7,820,000","$132,940,000",2013-12-11,/market-activity/ipos/overview?dealId=919265-73861,1092,"7,820,000",132940000.0,"18TH FLOOR TOWER B, CEC PLAZA 3 Dan Ling Street, Haidian District  Beijin  100080",8610 5985 7001,Services-Computer Processing and Data Preparation,47906000.0,88965000.0,34169000.0,117574000.0,28609000.0,381952000.0,0.708278848109726
137,Hilton Worldwide Holdings Inc.,HLT,New York Stock Exchange,20.0,"117,640,624","$2,352,812,480",2013-12-12,/market-activity/ipos/overview?dealId=915398-73473,151000,"984,615,364",19692307280.0,"7930 JONES BRANCH DRIVE, SUITE 1100   MCLEAN VA 22102",703-883-1000,Hotels and Motels,1100000000.0,5288000000.0,352000000.0,9276000000.0,3988000000.0,27066000000.0,0.05613116247295913
138,Aramark,ARMK,New York Stock Exchange,20.0,"36,250,000","$725,000,000",2013-12-12,/market-activity/ipos/overview?dealId=914974-73445,272000,"229,837,345",4596746900.0,2400 MARKET STREET   PHILADELPHIA PA 19103,215-238-3000,Retail-Eating Places,581775000.0,1314007000.0,103551000.0,13505426000.0,12191419000.0,10487354000.0,0.032337319127861856
