,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
715,Summit Therapeutics Inc.,SMMT,Nasdaq National Market,9.9,"3,450,000","$34,155,000",2015-03-05,/market-activity/ipos/overview?dealId=928879-77540
716,"MaxPoint Interactive, Inc.",MXPT,New York Stock Exchange,11.5,"6,500,000","$74,750,000",2015-03-06,/market-activity/ipos/overview?dealId=956526-77558
717,"Summit Materials, Inc.",SUM,New York Stock Exchange,18.0,"22,222,222","$399,999,996",2015-03-12,/market-activity/ipos/overview?dealId=952736-77262
718,National Commerce Corp,NCOM,Nasdaq National Market,19.5,"1,700,000","$33,150,000",2015-03-19,/market-activity/ipos/overview?dealId=936642-77378
719,SteadyMed Ltd.,STDY,Nasdaq National Market,8.5,"4,700,000","$39,950,000",2015-03-20,/market-activity/ipos/overview?dealId=956991-77602
720,TANTECH HOLDINGS LTD,TANH,Nasdaq SmallCap Market,4.0,"3,200,000","$12,800,000",2015-03-24,/market-activity/ipos/overview?dealId=944893-76487
721,NextDecade Corp.,HRMNU,Nasdaq SmallCap Market,10.0,"10,000,000","$100,000,000",2015-03-24,/market-activity/ipos/overview?dealId=939000-75943
722,Cellectis S.A.,CLLS,Nasdaq National Market,41.5,"5,500,000","$228,250,000",2015-03-25,/market-activity/ipos/overview?dealId=958510-77689
723,"SOLAREDGE TECHNOLOGIES, INC.",SEDG,Nasdaq National Market,18.0,"7,000,000","$126,000,000",2015-03-26,/market-activity/ipos/overview?dealId=763462-77672
724,Franklin Financial Network Inc.,FSB,New York Stock Exchange,21.0,"2,640,000","$55,440,000",2015-03-26,/market-activity/ipos/overview?dealId=751372-77453
725,"Jernigan Capital, Inc.",JCAP,New York Stock Exchange,20.0,"5,000,000","$100,000,000",2015-03-27,/market-activity/ipos/overview?dealId=958559-77692
726,GoDaddy Inc.,GDDY,New York Stock Exchange,20.0,"23,000,000","$460,000,000",2015-04-01,/market-activity/ipos/overview?dealId=936696-75671
727,Kornit Digital Ltd.,KRNT,Nasdaq National Market,10.0,"7,100,000","$71,000,000",2015-04-02,/market-activity/ipos/overview?dealId=958879-77720
728,Mercurity Fintech Holding Inc.,WOWO,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2015-04-08,/market-activity/ipos/overview?dealId=954614-77410
729,"KalVista Pharmaceuticals, Inc.",CBYL,Nasdaq National Market,5.0,"13,000,000","$65,000,000",2015-04-09,/market-activity/ipos/overview?dealId=695419-77336
730,"CHINOOK THERAPEUTICS, INC.",ADRO,Nasdaq National Market,17.0,"7,000,000","$119,000,000",2015-04-15,/market-activity/ipos/overview?dealId=778465-77844
731,XBiotech Inc.,XBIT,Nasdaq National Market,19.0,"4,000,000","$76,000,000",2015-04-15,/market-activity/ipos/overview?dealId=956398-77544
732,"Cidara Therapeutics, Inc.",CDTX,Nasdaq National Market,16.0,"4,800,000","$76,800,000",2015-04-15,/market-activity/ipos/overview?dealId=937299-77871
733,Party City Holdco Inc.,PRTY,New York Stock Exchange,17.0,"21,875,000","$371,875,000",2015-04-16,/market-activity/ipos/overview?dealId=925114-74453
734,"Virtu Financial, Inc.",VIRT,Nasdaq SmallCap Market,19.0,"16,532,272","$314,113,168",2015-04-16,/market-activity/ipos/overview?dealId=929391-74853
735,ETSY INC,ETSY,Nasdaq National Market,16.0,"16,666,666","$266,666,656",2015-04-16,/market-activity/ipos/overview?dealId=716408-77778
736,"KEMPHARM, INC",KMPH,Nasdaq National Market,11.0,"5,090,909","$55,999,999",2015-04-16,/market-activity/ipos/overview?dealId=777878-77841
737,National Storage Affiliates Trust,NSA,New York Stock Exchange,13.0,"20,000,000","$260,000,000",2015-04-23,/market-activity/ipos/overview?dealId=957876-77655
738,Apigee Corp,APIC,Nasdaq National Market,17.0,"5,115,000","$86,955,000",2015-04-24,/market-activity/ipos/overview?dealId=671619-77923
739,"Viking Therapeutics, Inc.",VKTX,Nasdaq SmallCap Market,8.0,"3,000,000","$24,000,000",2015-04-29,/market-activity/ipos/overview?dealId=938471-75892
740,"Enviva Partners, LP",EVA,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2015-04-29,/market-activity/ipos/overview?dealId=948016-76802
741,Atlantic Alliance Partnership Corp.,AAPC,Nasdaq SmallCap Market,10.0,"7,500,000","$75,000,000",2015-04-29,/market-activity/ipos/overview?dealId=958643-77698
742,Blueprint Medicines Corp,BPMC,Nasdaq National Market,18.0,"8,145,834","$146,625,012",2015-04-30,/market-activity/ipos/overview?dealId=924997-77940
743,Arowana Inc.,ARWAU,Nasdaq SmallCap Market,10.0,"7,200,000","$72,000,000",2015-05-01,/market-activity/ipos/overview?dealId=947906-76790
744,"Black Stone Minerals, L.P.",BSM,New York Stock Exchange,19.0,"22,500,000","$427,500,000",2015-05-01,/market-activity/ipos/overview?dealId=960854-77921
745,OPGEN INC,OPGN,Nasdaq SmallCap Market,6.0,"2,850,000","$17,100,000",2015-05-05,/market-activity/ipos/overview?dealId=639472-77762
746,"CoLucid Pharmaceuticals, Inc.",CLCD,Nasdaq National Market,10.0,"5,500,000","$55,000,000",2015-05-06,/market-activity/ipos/overview?dealId=695247-77992
747,Adaptimmune Therapeutics PLC,ADAP,Nasdaq National Market,17.0,"11,250,000","$191,250,000",2015-05-06,/market-activity/ipos/overview?dealId=946117-78061
748,"HTG MOLECULAR DIAGNOSTICS, INC",HTGM,Nasdaq National Market,14.0,"3,570,000","$49,980,000",2015-05-06,/market-activity/ipos/overview?dealId=104854-77345
749,"COLLEGIUM PHARMACEUTICAL, INC",COLL,Nasdaq National Market,12.0,"5,800,000","$69,600,000",2015-05-07,/market-activity/ipos/overview?dealId=600781-78033
750,"Tallgrass Energy, LP",TEGP,New York Stock Exchange,29.0,"41,500,000","$1,203,500,000",2015-05-07,/market-activity/ipos/overview?dealId=958762-77708
751,aTYR PHARMA INC,LIFE,Nasdaq National Market,14.0,"5,360,000","$75,040,000",2015-05-07,/market-activity/ipos/overview?dealId=686434-78065
752,"Bojangles', Inc.",BOJA,Nasdaq National Market,19.0,"7,750,000","$147,250,000",2015-05-08,/market-activity/ipos/overview?dealId=962218-78062
753,BiondVax Pharmaceuticals Ltd.,BVXV,Nasdaq SmallCap Market,5.0,"1,910,000","$9,550,000",2015-05-12,/market-activity/ipos/overview?dealId=953605-77338
754,"EQGP Holdings, LP",EQGP,New York Stock Exchange,27.0,"23,000,000","$621,000,000",2015-05-12,/market-activity/ipos/overview?dealId=957555-77637
755,"Jaguar Health, Inc.",JAGX,Nasdaq SmallCap Market,7.0,"2,860,000","$20,020,000",2015-05-13,/market-activity/ipos/overview?dealId=914820-76294
756,GALAPAGOS NV,GLPG,Nasdaq SmallCap Market,42.05,"6,550,000","$275,427,500",2015-05-14,/market-activity/ipos/overview?dealId=765459-78133
757,"Fenix Parts, Inc.",FENX,Nasdaq National Market,8.0,"12,000,000","$96,000,000",2015-05-14,/market-activity/ipos/overview?dealId=945821-78082
758,Fortress Transportation & Infrastructure Investors LLC,FTAI,New York Stock Exchange,17.0,"20,000,000","$340,000,000",2015-05-15,/market-activity/ipos/overview?dealId=923628-74336
759,"Arcadia Biosciences, Inc.",RKDA,Nasdaq National Market,8.0,"8,200,000","$65,600,000",2015-05-15,/market-activity/ipos/overview?dealId=809515-77663
760,Code Rebel Corp,CDRB,Nasdaq SmallCap Market,5.0,"2,000,000","$10,000,000",2015-05-19,/market-activity/ipos/overview?dealId=938918-77989
761,"Black Knight, Inc.",BKFS,New York Stock Exchange,24.5,"18,000,000","$441,000,000",2015-05-20,/market-activity/ipos/overview?dealId=953237-77309
762,"Rimini Street, Inc.",GPIAU,Nasdaq SmallCap Market,10.0,"15,000,000","$150,000,000",2015-05-20,/market-activity/ipos/overview?dealId=963316-78161
763,Baozun Inc.,BZUN,Nasdaq National Market,10.0,"11,000,000","$110,000,000",2015-05-21,/market-activity/ipos/overview?dealId=963262-78149
764,Community Healthcare Trust Inc,CHCT,New York Stock Exchange,19.0,"6,250,000","$118,750,000",2015-05-21,/market-activity/ipos/overview?dealId=962023-78035
765,"Press Ganey Holdings, Inc.",PGND,New York Stock Exchange,25.0,"8,900,000","$222,500,000",2015-05-21,/market-activity/ipos/overview?dealId=962162-78055
766,SHOPIFY INC.,SHOP,New York Stock Exchange,17.0,"7,700,000","$130,900,000",2015-05-21,/market-activity/ipos/overview?dealId=924106-78124
767,ConforMIS Inc,CFMS,Nasdaq National Market,15.0,"9,000,000","$135,000,000",2015-07-01,/market-activity/ipos/overview?dealId=652145-78505
768,"Unique Fabricating, Inc.",UFAB,American Stock Exchange,9.5,"2,350,000","$22,325,000",2015-07-01,/market-activity/ipos/overview?dealId=949127-76932
769,CONSOL Coal Resources LP,CNXC,New York Stock Exchange,15.0,"5,000,000","$75,000,000",2015-07-01,/market-activity/ipos/overview?dealId=961806-78013
770,"Teladoc Health, Inc.",TDOC,New York Stock Exchange,19.0,"8,250,000","$156,750,000",2015-07-01,/market-activity/ipos/overview?dealId=816414-78553
771,"Natera, Inc.",NTRA,Nasdaq National Market,18.0,"10,000,000","$180,000,000",2015-07-02,/market-activity/ipos/overview?dealId=966846-78575
772,Hailiang Education Group Inc.,HLG,Nasdaq National Market,7.0,"2,858,000","$20,006,000",2015-07-07,/market-activity/ipos/overview?dealId=953462-77324
773,"Ollie's Bargain Outlet Holdings, Inc.",OLLI,Nasdaq National Market,16.0,"8,925,000","$142,800,000",2015-07-16,/market-activity/ipos/overview?dealId=967922-78686
774,"Sierra Oncology, Inc.",DNAI,Nasdaq National Market,17.0,"8,100,000","$137,700,000",2015-07-16,/market-activity/ipos/overview?dealId=635290-78678
775,"CHIASMA, INC",CHMA,Nasdaq National Market,16.0,"6,365,000","$101,840,000",2015-07-16,/market-activity/ipos/overview?dealId=686107-78688
776,Jupai Holdings Ltd,JP,New York Stock Exchange,10.0,"5,300,000","$53,000,000",2015-07-16,/market-activity/ipos/overview?dealId=967929-78689
777,"MasterCraft Boat Holdings, Inc.",MCFT,Nasdaq National Market,15.0,"6,071,429","$91,071,435",2015-07-17,/market-activity/ipos/overview?dealId=964343-78298
778,OOMA INC,OOMA,New York Stock Exchange,13.0,"5,000,000","$65,000,000",2015-07-17,/market-activity/ipos/overview?dealId=674544-78694
779,"Rapid7, Inc.",RPD,Nasdaq National Market,16.0,"6,450,000","$103,200,000",2015-07-17,/market-activity/ipos/overview?dealId=891765-78660
780,"Blue Buffalo Pet Products, Inc.",BUFF,Nasdaq National Market,20.0,"33,831,554","$676,631,080",2015-07-22,/market-activity/ipos/overview?dealId=967510-78649
781,"Daseke, Inc.",HCACU,Nasdaq SmallCap Market,10.0,"17,500,000","$175,000,000",2015-07-23,/market-activity/ipos/overview?dealId=968598-78769
782,"Neos Therapeutics, Inc.",NEOS,Nasdaq National Market,15.0,"4,800,000","$72,000,000",2015-07-23,/market-activity/ipos/overview?dealId=807805-78743
783,"Live Oak Bancshares, Inc.",LOB,Nasdaq National Market,17.0,"4,800,000","$81,600,000",2015-07-23,/market-activity/ipos/overview?dealId=803316-78750
784,Code Chain New Continent Ltd,WYIGU,Nasdaq SmallCap Market,10.0,"5,000,000","$50,000,000",2015-07-24,/market-activity/ipos/overview?dealId=968092-78703
785,"ImmunityBio, Inc.",NK,Nasdaq National Market,25.0,"8,288,000","$207,200,000",2015-07-28,/market-activity/ipos/overview?dealId=672710-78749
786,Easterly Acquisition Corp.,EACQU,Nasdaq SmallCap Market,10.0,"18,000,000","$180,000,000",2015-07-30,/market-activity/ipos/overview?dealId=964883-78357
787,"Purple Innovation, Inc.",GPACU,Nasdaq SmallCap Market,10.0,"13,500,000","$135,000,000",2015-07-30,/market-activity/ipos/overview?dealId=967850-78676
788,vTv Therapeutics Inc.,VTVT,Nasdaq National Market,15.0,"7,812,500","$117,187,500",2015-07-30,/market-activity/ipos/overview?dealId=967930-78690
789,"TERRAFORM GLOBAL, INC.",GLBL,Nasdaq National Market,15.0,"45,000,000","$675,000,000",2015-07-31,/market-activity/ipos/overview?dealId=964760-78350
790,"Aqua Metals, Inc.",AQMS,Nasdaq SmallCap Market,5.0,"6,600,000","$33,000,000",2015-07-31,/market-activity/ipos/overview?dealId=946653-78638
791,"XCel Brands, Inc.",XELB,Nasdaq National Market,9.0,"1,800,000","$16,200,000",2015-07-31,/market-activity/ipos/overview?dealId=61156-77621
792,FULING GLOBAL INC.,FORK,Nasdaq SmallCap Market,5.0,"4,000,000","$20,000,000",2015-11-04,/market-activity/ipos/overview?dealId=971511-79039
793,"Kura Oncology, Inc.",KURA,Nasdaq National Market,8.0,"6,250,000","$50,000,000",2015-11-05,/market-activity/ipos/overview?dealId=769251-79627
794,EQUITY BANCSHARES INC,EQBK,Nasdaq National Market,22.5,"1,940,000","$43,650,000",2015-11-11,/market-activity/ipos/overview?dealId=403446-79553
795,"Voyager Therapeutics, Inc.",VYGR,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2015-11-11,/market-activity/ipos/overview?dealId=963623-79558
796,Wave Life Sciences Ltd.,WVE,Nasdaq National Market,16.0,"6,375,000","$102,000,000",2015-11-11,/market-activity/ipos/overview?dealId=956413-79562
797,Advanced Accelerator Applications S.A.,AAAP,Nasdaq National Market,16.0,"4,688,000","$75,008,000",2015-11-11,/market-activity/ipos/overview?dealId=949822-79499
798,"XTERA COMMUNICATIONS, INC.",XCOM,Nasdaq National Market,5.0,"5,000,000","$25,000,000",2015-11-12,/market-activity/ipos/overview?dealId=107924-79522
799,MESOBLAST LTD,MESO,Nasdaq National Market,8.0,"7,479,617","$59,836,936",2015-11-13,/market-activity/ipos/overview?dealId=691546-79701
800,INSTRUCTURE INC,INST,New York Stock Exchange,16.0,"4,400,000","$70,400,000",2015-11-13,/market-activity/ipos/overview?dealId=701899-79552
801,Mimecast Ltd,MIME,Nasdaq National Market,10.0,"7,750,000","$77,500,000",2015-11-19,/market-activity/ipos/overview?dealId=977409-79593
802,"Match Group Holdings II, LLC",MTCH,Nasdaq National Market,12.0,"33,333,333","$399,999,996",2015-11-19,/market-activity/ipos/overview?dealId=905768-79612
803,"Square, Inc.",SQ,New York Stock Exchange,9.0,"27,000,000","$243,000,000",2015-11-19,/market-activity/ipos/overview?dealId=849216-79576
804,"Axsome Therapeutics, Inc.",AXSM,Nasdaq SmallCap Market,9.0,"5,666,667","$51,000,003",2015-11-19,/market-activity/ipos/overview?dealId=909091-79570
805,PURPLE BIOTECH LTD.,KTOV,Nasdaq SmallCap Market,4.12,"3,158,900","$13,014,668",2015-11-20,/market-activity/ipos/overview?dealId=975847-79458
806,DULUTH HOLDINGS INC.,DLTH,Nasdaq National Market,12.0,"6,666,667","$80,000,004",2015-11-20,/market-activity/ipos/overview?dealId=976572-79529
807,"Moleculin Biotech, Inc.",MBRX,Nasdaq SmallCap Market,6.0,"1,540,026","$9,240,156",2016-06-02,/market-activity/ipos/overview?dealId=985655-80273
808,"NantHealth, Inc.",NH,Nasdaq National Market,14.0,"6,500,000","$91,000,000",2016-06-02,/market-activity/ipos/overview?dealId=897337-80838
809,"Clearside Biomedical, Inc.",CLSD,Nasdaq National Market,7.0,"7,200,000","$50,400,000",2016-06-02,/market-activity/ipos/overview?dealId=871449-80135
810,"Sensus Healthcare, Inc.",SRTSU,Nasdaq SmallCap Market,5.5,"2,000,000","$11,000,000",2016-06-03,/market-activity/ipos/overview?dealId=832198-80325
811,Atkore Inc.,ATKR,New York Stock Exchange,16.0,"12,000,000","$192,000,000",2016-06-10,/market-activity/ipos/overview?dealId=988705-80469
812,China Online Education Group,COE,New York Stock Exchange,19.0,"2,400,000","$45,600,000",2016-06-10,/market-activity/ipos/overview?dealId=994453-80886
813,"VIVEVE MEDICAL, INC.",VIVE,Nasdaq SmallCap Market,5.0,"2,700,000","$13,500,000",2016-06-14,/market-activity/ipos/overview?dealId=7728-80738
814,Paragon Commercial CORP,PBNC,Nasdaq SmallCap Market,34.0,"736,000","$25,024,000",2016-06-16,/market-activity/ipos/overview?dealId=758748-80980
815,SELECTA BIOSCIENCES INC,SELB,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2016-06-22,/market-activity/ipos/overview?dealId=795595-80972
816,TWILIO INC,TWLO,New York Stock Exchange,15.0,"10,000,000","$150,000,000",2016-06-23,/market-activity/ipos/overview?dealId=789817-80982
817,Global Medical REIT Inc.,GMRE,New York Stock Exchange,10.0,"13,043,479","$130,434,790",2016-06-29,/market-activity/ipos/overview?dealId=866790-80649
818,"Syros Pharmaceuticals, Inc.",SYRS,Nasdaq National Market,12.5,"4,000,000","$50,000,000",2016-06-30,/market-activity/ipos/overview?dealId=888137-81033
819,"Infrastructure & Energy Alternatives, Inc.",MIIIU,Nasdaq SmallCap Market,10.0,"15,000,000","$150,000,000",2016-07-07,/market-activity/ipos/overview?dealId=992520-80737
820,"9 METERS BIOPHARMA, INC.",MSDI,Nasdaq SmallCap Market,4.5,"2,025,000","$9,112,500",2016-07-08,/market-activity/ipos/overview?dealId=884171-79786
821,LINE Corp,LN,New York Stock Exchange,32.84,"35,000,000","$1,149,400,000",2016-07-14,/market-activity/ipos/overview?dealId=996550-81092
822,Conyers Park Acquisition Corp.,CPAAU,Nasdaq SmallCap Market,10.0,"37,500,000","$375,000,000",2016-07-15,/market-activity/ipos/overview?dealId=997236-81172
823,"AdvancePierre Foods Holdings, Inc.",APFH,New York Stock Exchange,21.0,"18,600,000","$390,600,000",2016-07-15,/market-activity/ipos/overview?dealId=991835-80683
824,"Audentes Therapeutics, Inc.",BOLD,Nasdaq National Market,15.0,"5,000,000","$75,000,000",2016-07-20,/market-activity/ipos/overview?dealId=953394-80103
825,IMPINJ INC,PI,Nasdaq National Market,14.0,"4,800,000","$67,200,000",2016-07-21,/market-activity/ipos/overview?dealId=164589-81026
826,Patheon N.V.,PTHN,New York Stock Exchange,21.0,"29,761,905","$625,000,005",2016-07-21,/market-activity/ipos/overview?dealId=967346-78621
827,"TPI COMPOSITES, INC",TPIC,Nasdaq National Market,11.0,"6,250,000","$68,750,000",2016-07-22,/market-activity/ipos/overview?dealId=797314-81150
828,"Kadmon Holdings, Inc.",KDMN,New York Stock Exchange,12.0,"6,250,000","$75,000,000",2016-07-27,/market-activity/ipos/overview?dealId=888674-81089
829,"Kinsale Capital Group, Inc.",KNSL,Nasdaq National Market,16.0,"6,600,000","$105,600,000",2016-07-28,/market-activity/ipos/overview?dealId=998260-81254
830,TACTILE SYSTEMS TECHNOLOGY INC,TCMD,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2016-07-28,/market-activity/ipos/overview?dealId=111659-80227
831,Cellect Biotechnology Ltd.,APOP,Nasdaq SmallCap Market,6.5,"1,292,308","$8,400,002",2016-07-29,/market-activity/ipos/overview?dealId=998577-81264
832,Long Blockchain Corp.,LTEA,Nasdaq SmallCap Market,5.5,"1,818,182","$10,000,001",2016-07-29,/market-activity/ipos/overview?dealId=954164-80677
833,Talend S.A.,TLND,Nasdaq National Market,18.0,"5,250,000","$94,500,000",2016-07-29,/market-activity/ipos/overview?dealId=997830-81213
834,At Home Group Inc.,HOME,New York Stock Exchange,15.0,"8,667,000","$130,005,000",2016-08-04,/market-activity/ipos/overview?dealId=974579-79327
835,"FIRST HAWAIIAN, INC.",FHB,Nasdaq National Market,23.0,"21,086,957","$485,000,011",2016-08-04,/market-activity/ipos/overview?dealId=13300-81280
836,"NeuroBo Pharmaceuticals, Inc.",GEMP,Nasdaq National Market,10.0,"3,000,000","$30,000,000",2016-08-05,/market-activity/ipos/overview?dealId=962326-80736
837,Atomera Inc,ATMR,Nasdaq SmallCap Market,7.5,"3,200,000","$24,000,000",2016-08-05,/market-activity/ipos/overview?dealId=764116-81236
838,"Medpace Holdings, Inc.",MEDP,Nasdaq National Market,23.0,"7,000,000","$161,000,000",2016-08-11,/market-activity/ipos/overview?dealId=997644-81198
839,"Protagonist Therapeutics, Inc",PTGX,Nasdaq National Market,12.0,"7,500,000","$90,000,000",2016-08-11,/market-activity/ipos/overview?dealId=722378-81285
840,AIRGAIN INC,AIRG,Nasdaq SmallCap Market,8.0,"1,500,000","$12,000,000",2016-08-12,/market-activity/ipos/overview?dealId=609696-81314
841,"Phunware, Inc.",STLRU,Nasdaq SmallCap Market,10.0,"6,500,000","$65,000,000",2016-08-19,/market-activity/ipos/overview?dealId=998228-81246
842,"Priority Technology Holdings, Inc.",MACQU,NASDAQ Capital,10.0,"5,000,000","$50,000,000",2016-09-14,/market-activity/ipos/overview?dealId=999961-81361
843,Noble Midstream Partners LP,NBLX,NYSE,22.5,"12,500,000","$281,250,000",2016-09-15,/market-activity/ipos/overview?dealId=977889-79634
844,"EVERBRIDGE, INC.",EVBG,NASDAQ Global,12.0,"7,500,000","$90,000,000",2016-09-16,/market-activity/ipos/overview?dealId=780521-81530
845,Bank of N.T. Butterfield & Son Ltd,NTB,NYSE,23.5,"10,638,298","$250,000,003",2016-09-16,/market-activity/ipos/overview?dealId=1000738-81421
846,Saban Capital Acquisition Corp.,SCACU,NASDAQ Capital,10.0,"23,500,000","$235,000,000",2016-09-16,/market-activity/ipos/overview?dealId=1002027-81544
847,FB Financial Corp,FBK,NYSE,19.0,"5,882,352","$111,764,688",2016-09-16,/market-activity/ipos/overview?dealId=1001870-81527
848,Lord Global Corp,BGFT,OTCBB,1.0,"20,000,000","$20,000,000",2016-09-19,/market-activity/ipos/overview?dealId=900095-81449
849,"Novan, Inc.",NOVN,NASDAQ Global,11.0,"4,100,000","$45,100,000",2016-09-21,/market-activity/ipos/overview?dealId=807789-81553
850,"Trade Desk, Inc.",TTD,NASDAQ Global,18.0,"4,666,667","$84,000,006",2016-09-21,/market-activity/ipos/overview?dealId=1001950-81540
851,"CapStar Financial Holdings, Inc.",CSTR,NASDAQ Global Select,15.0,"2,585,000","$38,775,000",2016-09-22,/market-activity/ipos/overview?dealId=1002364-81581
852,"e.l.f. Beauty, Inc.",ELF,NYSE,17.0,"8,333,333","$141,666,661",2016-09-22,/market-activity/ipos/overview?dealId=927387-81567
853,Gridsum Holding Inc.,GSUM,NASDAQ Global Select,13.0,"6,700,000","$87,100,000",2016-09-23,/market-activity/ipos/overview?dealId=1002290-81570
854,AC Immune SA,ACIU,NASDAQ Global,11.0,"6,000,000","$66,000,000",2016-09-23,/market-activity/ipos/overview?dealId=995734-81000
855,Apptio Inc,APTI,NASDAQ Global,16.0,"6,000,000","$96,000,000",2016-09-23,/market-activity/ipos/overview?dealId=763438-81568
856,VALVOLINE INC,VVV,NYSE,22.0,"30,000,000","$660,000,000",2016-09-23,/market-activity/ipos/overview?dealId=995763-81002
857,"SHINECO, INC.",TYHT,NASDAQ Capital,4.5,"1,713,190","$7,709,355",2016-09-28,/market-activity/ipos/overview?dealId=647449-77894
858,"MedEquities Realty Trust, Inc.",MRT,NYSE,12.0,"19,925,333","$239,103,996",2016-09-29,/market-activity/ipos/overview?dealId=942036-79230
859,"Tabula Rasa HealthCare, Inc.",TRHC,NASDAQ Global,12.0,"4,300,000","$51,600,000",2016-09-29,/market-activity/ipos/overview?dealId=983094-80108
860,"Fulgent Genetics, Inc.",FLGT,NASDAQ Global,9.0,"4,200,000","$37,800,000",2016-09-29,/market-activity/ipos/overview?dealId=1002718-81621
861,"Nutanix, Inc.",NTNX,NASDAQ Global Select,16.0,"14,870,000","$237,920,000",2016-09-30,/market-activity/ipos/overview?dealId=944166-80050
862,GDS Holdings Ltd,GDS,NASDAQ Global,10.0,"19,250,000","$192,500,000",2016-11-02,/market-activity/ipos/overview?dealId=1004950-81839
863,"Smart Sand, Inc.",SND,NASDAQ Global Select,11.0,"11,700,000","$128,700,000",2016-11-04,/market-activity/ipos/overview?dealId=864559-81736
864,Motif Bio plc,MTFB,NASDAQ Capital,6.98,"2,438,491","$17,020,667",2016-11-18,/market-activity/ipos/overview?dealId=998919-81297
865,Hunter Maritime Acquisition Corp.,HUNTU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2016-11-18,/market-activity/ipos/overview?dealId=1005763-81877
866,INNOVATIVE INDUSTRIAL PROPERTIES INC,IIPR,NYSE,20.0,"3,350,000","$67,000,000",2016-12-01,/market-activity/ipos/overview?dealId=1006262-81918
867,"Polar Power, Inc.",POLA,NASDAQ Capital,7.0,"2,400,000","$16,800,000",2016-12-07,/market-activity/ipos/overview?dealId=947938-81674
868,"SenesTech, Inc.",SNES,NASDAQ Capital,8.0,"1,875,000","$15,000,000",2016-12-08,/market-activity/ipos/overview?dealId=1003944-81751
869,"ICHOR HOLDINGS, LTD.",ICHR,NASDAQ Global Select,9.0,"5,877,778","$52,900,002",2016-12-09,/market-activity/ipos/overview?dealId=1008256-82088
870,Athene Holding Ltd,ATH,NYSE,40.0,"27,000,000","$1,080,000,000",2016-12-09,/market-activity/ipos/overview?dealId=861631-80855
871,"Brazos Valley Longhorn, L.L.C.",WRD,NYSE,15.0,"27,500,000","$412,500,000",2016-12-14,/market-activity/ipos/overview?dealId=1008177-82078
872,TiGenix NV,TIG,NASDAQ Global Select,15.5,"2,300,000","$35,650,000",2016-12-15,/market-activity/ipos/overview?dealId=911400-80044
873,trivago N.V.,TRVG,NASDAQ Global Select,11.0,"26,110,118","$287,211,298",2016-12-16,/market-activity/ipos/overview?dealId=1008287-82089
874,"Nisun International Enterprise Development Group Co., Ltd",HEBT,NASDAQ Capital,4.0,"5,000,000","$20,000,000",2016-12-27,/market-activity/ipos/overview?dealId=981769-80004
875,Invitation Homes Inc.,INVH,NYSE,20.0,"77,000,000","$1,540,000,000",2017-02-01,/market-activity/ipos/overview?dealId=1011996-82545
876,"LAUREATE EDUCATION, INC.",LAUR,NASDAQ Global Select,14.0,"35,000,000","$490,000,000",2017-02-01,/market-activity/ipos/overview?dealId=3789-79506
877,"Kimbell Royalty Partners, LP",KRP,NYSE,18.0,"5,000,000","$90,000,000",2017-02-03,/market-activity/ipos/overview?dealId=1012004-82548
878,"Ramaco Resources, Inc.",METC,NASDAQ Global Select,13.5,"6,000,000","$81,000,000",2017-02-03,/market-activity/ipos/overview?dealId=1011485-82493
879,"Foundation Building Materials, Inc.",FBM,NYSE,14.0,"12,800,000","$179,200,000",2017-02-10,/market-activity/ipos/overview?dealId=1012734-82595
880,Sachem Capital Corp.,SACH,NYSE MKT,5.0,"2,600,000","$13,000,000",2017-02-10,/market-activity/ipos/overview?dealId=1007185-81987
881,Clipper Realty Inc.,CLPR,NYSE,13.5,"5,700,000","$76,950,000",2017-02-10,/market-activity/ipos/overview?dealId=972131-81856
882,Hamilton Lane INC,HLNE,NASDAQ Global Select,16.0,"11,875,000","$190,000,000",2017-03-01,/market-activity/ipos/overview?dealId=1014270-82705
883,Snap Inc,SNAP,NYSE,17.0,"200,000,000","$3,400,000,000",2017-03-02,/market-activity/ipos/overview?dealId=899497-82723
884,"J.Jill, Inc.",JILL,NYSE,13.0,"11,666,667","$151,666,671",2017-03-09,/market-activity/ipos/overview?dealId=1015222-82780
885,BeyondSpring Inc.,BYSI,NASDAQ Capital,20.0,"174,286","$3,485,720",2017-03-09,/market-activity/ipos/overview?dealId=1008377-82102
886,"Presidio, Inc.",PSDO,NASDAQ Global Select,14.0,"16,666,666","$233,333,324",2017-03-10,/market-activity/ipos/overview?dealId=957998-82160
887,"U.S. WELL SERVICES, INC.",MPACU,NASDAQ Capital,10.0,"30,000,000","$300,000,000",2017-03-10,/market-activity/ipos/overview?dealId=1015802-82833
888,Ardagh Group S.A.,ARD,NYSE,19.0,"16,200,000","$307,800,000",2017-03-15,/market-activity/ipos/overview?dealId=1008708-82123
889,"MULESOFT, INC",MULE,NYSE,17.0,"13,000,000","$221,000,000",2017-03-17,/market-activity/ipos/overview?dealId=720052-82857
890,ProPetro Holding Corp.,PUMP,NYSE,14.0,"25,000,000","$350,000,000",2017-03-17,/market-activity/ipos/overview?dealId=999784-82763
